Episode,A2C_Reward,A3C_Reward,A2C_Steps,A3C_Steps,A2C_Loss,A3C_Loss
267,413.0,44.0,413,44,0.19184057414531708,0.08165844529867172
268,366.0,47.0,366,47,0.44253766536712646,0.1542384773492813
269,130.0,44.0,130,44,0.9149410724639893,0.07434731721878052
270,125.0,111.0,125,111,0.4842427968978882,0.14572398364543915
271,326.0,84.0,326,84,0.3257564306259155,0.37406250834465027
272,221.0,159.0,221,159,1.2925688028335571,0.30257147550582886
273,92.0,157.0,92,157,0.1481955647468567,0.3196851909160614
274,279.0,158.0,279,158,0.8454173803329468,0.4568324387073517
275,301.0,148.0,301,148,0.5369773507118225,0.8657203912734985
276,157.0,162.0,157,162,0.10707008093595505,0.5296305418014526
277,216.0,150.0,216,150,0.7699952721595764,0.6112420558929443
278,171.0,183.0,171,183,0.033064424991607666,0.15522341430187225
279,302.0,500.0,302,500,0.31307533383369446,0.15518364310264587
280,226.0,151.0,226,151,0.08521395921707153,0.12701913714408875
281,187.0,69.0,187,69,0.29858511686325073,0.05816681683063507
282,111.0,128.0,111,128,0.19052135944366455,0.971325159072876
283,500.0,271.0,500,271,0.14971591532230377,0.34032952785491943
284,197.0,205.0,197,205,-0.028800012543797493,0.8540449142456055
285,285.0,209.0,285,209,0.1391705721616745,0.3594359755516052
286,199.0,233.0,199,233,-0.09138638526201248,0.7101143002510071
287,43.0,127.0,43,127,-0.015612749382853508,0.14915302395820618
288,412.0,186.0,412,186,0.006386951543390751,0.4780254364013672
289,247.0,134.0,247,134,0.1869659423828125,0.0042724902741611
290,122.0,218.0,122,218,0.05926857516169548,-0.017759814858436584
291,113.0,241.0,113,241,0.12546271085739136,-0.05868035927414894
292,236.0,128.0,236,128,-0.008746414445340633,0.1736820787191391
293,251.0,267.0,251,267,0.08938469737768173,0.10387300699949265
294,219.0,58.0,219,58,-0.05734756216406822,-0.12278691679239273
295,175.0,500.0,175,500,0.28415530920028687,0.06196209043264389
296,461.0,275.0,461,275,-0.12689095735549927,0.2537350356578827
297,447.0,176.0,447,176,0.07270340621471405,0.17592602968215942
298,297.0,215.0,297,215,0.31784942746162415,-0.05773554742336273
299,377.0,240.0,377,240,0.11625905334949493,0.09043360501527786
300,422.0,193.0,422,193,-0.09427635371685028,0.43172916769981384
